board_hash,value
('-37296331457702316513.05.0-1', 4),0.9013471832997851
('-14796334735561546422.06.0-1', 1),0.91166407335
('17211520026901358142.06.0-1', 4),0.5571116346062249
('40940243075335778446.02.0-1', 1),0.0
('82722536429722228742.06.0-1', 4),0.0
('-22165782455012710136.02.0-1', 2),0.0
('-7595614336407206244.04.0-1', 0),0.013953433428098435
('22546537576468015873.05.0-1', 4),0.406124106525
('24053130381942834023.05.0-1', 2),0.016153326951795416
('58734817824689494412.06.0-1', 1),0.285
('41798233463526626773.05.0-1', 4),0.0791537625
('-42132490760598427972.06.0-1', 2),0.5197305629877536
('-43462601647944711903.05.0-1', 4),0.22216754086478732
('5783063227751243093.05.0-1', 4),0.031204829147613248
('-79935348256236060735.03.0-1', 1),0.0
('81566193618584517762.06.0-1', 1),0.871763415
('-17172472452468482584.04.0-1', 1),0.0
('-79404453594330589222.06.0-1', 4),0.0032777217285749993
('-11051449214683610963.05.0-1', 1),0.285
('12276402925015041533.05.0-1', 2),0.3459759969388627
('55388531437364203733.05.0-1', 1),0.4845
('24106791163489569714.04.0-1', 1),0.0
('-88338407698143969412.06.0-1', 4),0.0
('45789793654773811253.05.0-1', 4),0.0
('-6809719588049460764.04.0-1', 1),0.0
('-58492007347507371342.06.0-1', 4),0.0
('-91102353275441034603.05.0-1', 4),0.0
('-57079838058343679082.06.0-1', 2),0.32755574282932537
('57794434491025622682.06.0-1', 1),0.4845
('58734817824689494412.06.0-1', 4),0.11371499999999998
('66372659235157215838.00.0-1', 1),0.0
('24053130381942834021.07.0-1', 4),0.1332613936994115
('-3121412461956567772.06.0-1', 4),0.0
('65875195067863792094.04.0-1', 1),0.285
('72474047011132013814.04.0-1', 4),0.08122499999999999
('55062805023022945914.04.0-1', 2),0.01122740211707307
('3709203164734458642.06.0-1', 4),0.39792127499999996
('-17172472452468482583.05.0-1', 1),0.0
('64910191565189438064.04.0-1', 1),0.0
('-31848586514134711963.05.0-1', 4),0.0
('-24406241179437733093.05.0-1', 4),0.0
('85532200630246313481.07.0-1', 1),0.285
('-43165439367730066033.05.0-1', 4),0.1380825
('-75497117304212185445.03.0-1', 1),0.0
('72624738402009928873.05.0-1', 4),0.0
('3709203164734458643.05.0-1', 4),0.0
('-19497870807737419201.07.0-1', 1),0.285
('22546537576468015872.06.0-1', 1),0.4845
('-19216608732665155001.07.0-1', 4),0.26310198263332496
('-37296331457702316511.07.0-1', 4),0.07498406505049761
('-43165439367730066033.05.0-1', 2),0.1386426702751845
('35868385200491826014.04.0-1', 1),0.0
('7805217687704061752.06.0-1', 4),0.0
('-80367763896855458765.03.0-1', 4),0.0
('61847751248396637773.05.0-1', 2),0.7220619207600011
('-79935348256236060736.02.0-1', 1),0.0
('-21639799927323091275.03.0-1', 1),0.0
('83661931323356148505.03.0-1', 1),0.0
('54199824316266977234.04.0-1', 1),0.13965
('65888950592454850084.04.0-1', 4),0.08122499999999999
('22496118916994902952.06.0-1', 4),0.023149124999999996
('26410164116314553811.07.0-1', 2),0.006597500624999998
('17052102095236197851.07.0-1', 0),0.0018802876781249993
('-43165439367730066032.06.0-1', 2),0.23663077319585618
('82722536429722228743.05.0-1', 1),0.0
('-86943868784613604472.06.0-1', 4),0.0
('21932792435297104654.04.0-1', 4),0.0
('-43433083859887944343.05.0-1', 2),0.27452563226832705
('21932792435297104651.07.0-1', 4),0.28380232409437084
('-57662576752055522064.04.0-1', 1),0.0
('-16685987485397617603.05.0-1', 4),0.0
('-2907994662572209652.06.0-1', 4),0.17788274999999998
('-47286253743218412062.06.0-1', 2),0.0
('4782796062206697881.07.0-1', 0),0.0
('55062805023022945913.05.0-1', 2),0.009389554049412411
('-55744794581001158587.01.0-1', 1),0.0
('55062805023022945915.03.0-1', 4),0.08122499999999999
('-14849707925098656923.05.0-1', 1),0.285
('21729372125906586965.03.0-1', 4),0.08122499999999999
('54127718235433441084.04.0-1', 4),0.32228089987499997
('82722536429722228744.04.0-1', 2),0.006597500624999998
('-42132490760598427975.03.0-1', 2),0.0
('70029882236800489344.04.0-1', 0),0.00015828888576720882
('-44367721324056929452.06.0-1', 0),4.511233244365451e-05
('45730521064344757633.05.0-1', 0),0.011641606124391234
('51225645174322052974.04.0-1', 1),0.0
('-55744794581001158584.04.0-1', 1),0.0
('-42070238582945514004.04.0-1', 1),0.047899950000000004
('68674931026920194514.04.0-1', 4),0.08122499999999999
('-85601664513027785252.06.0-1', 2),0.06444932454811572
('-43165439367730066032.06.0-1', 0),0.0716674649456478
('53893894260325550913.05.0-1', 1),0.4845
('84440101472220757945.03.0-1', 4),0.19494
('-2449052520305228453.05.0-1', 4),0.23010352087499997
('-2589081535394268953.05.0-1', 2),0.025070502374999994
('-10890614319079692602.06.0-1', 0),0.008461294551562498
('71327605011904700352.06.0-1', 0),0.044878721093793136
('-42132490760598427971.07.0-1', 2),0.005444863569859993
('61847751248396637771.07.0-1', 2),0.5343021540501595
('41320343327447134001.07.0-1', 4),0.302400675
('-5559478259462778851.07.0-1', 4),0.03935351249999999
('-36194972149494699454.04.0-1', 2),0.007851025743749998
('-54771731181228419432.06.0-1', 1),0.4845
('40159584305627408021.07.0-1', 1),0.7903335
('-43433083859887944343.05.0-1', 4),0.08122499999999999
('-31746434021212006685.03.0-1', 1),0.0
('-15772114863513046152.06.0-1', 1),0.62415
('50158453538689722662.06.0-1', 4),0.22902607124999996
('69710020473079996111.07.0-1', 1),0.721905
('-1093251340414637351.07.0-1', 1),0.285
('31281840659764024151.07.0-1', 4),0.010676007915929998
('44430575519807662723.05.0-1', 2),0.007036103126300061
('82722536429722228747.01.0-1', 1),0.0
('-43433083859887944342.06.0-1', 2),0.021473018527283564
('5360294696714837426.02.0-1', 1),0.0
('-90830662052216800774.04.0-1', 2),0.39465717159491087
('12276402925015041533.05.0-1', 0),0.3175664599383213
('778609626508531384.04.0-1', 4),0.0
('10192310377382870837.01.0-1', 1),0.0
('-43462601647944711904.04.0-1', 1),0.0
('82722536429722228745.03.0-1', 1),0.0
('44430575519807662724.04.0-1', 4),0.17788274999999998
('91246249812516283224.04.0-1', 1),0.0
('17451646426496156864.04.0-1', 4),0.20838431546127179
('66329584829699185346.02.0-1', 1),0.0
('29281504316775041243.05.0-1', 2),0.5727403902559578
('44430575519807662725.03.0-1', 2),0.07023207588768131
('51632316451260050602.06.0-1', 4),0.2552335532023601
('72908547982984846937.01.0-1', 1),0.0
('-2765129366539465556.02.0-1', 4),0.0
('-36908302779400520994.04.0-1', 4),0.08122499999999999
('10257330033284477455.03.0-1', 2),0.0
('70029882236800489343.05.0-1', 4),4.5804435191245634e-05
('-44367721324056929452.06.0-1', 4),0.0233291981667679
('24053130381942834024.04.0-1', 2),0.2954799319771775
('82722536429722228744.04.0-1', 4),0.21717936641812496
('25307390223116729563.05.0-1', 1),0.0
('42066349228623685422.06.0-1', 4),0.0
